"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Cyp2c55","Cyp2c55",77.8872656,17.6413872,3.1146834,42.809313,9.79796335,22.1606995,52.6727531,41.3061515,20.1714119,6.987662,39.1059159,22.9258688,80.9065254,52.92574531,39.08620783
"Car1","Car1",100.1491152,37.246417,36.6781281,50.88420587,25.08766601,79.7633214,48.5310464,60.6804247,39.14491464,47.1749881,53.15700332,57.8213399,228.87915426,124.26346831,72.52226283
"Hoxb13","Hoxb13",535.6072084,119.3255841,640.9465242,174.7987387,139.2355665,532.263576,974.2738933,182.7878742,62.3297331,117.52648,228.9273357,4.424409,1015.198195,1172.0919502,121.0162183
"Clca4","Clca4",223.1261993,130.6490462,368.5301902,122.6511984,39.373477,115.1081001,348.5509684,55.5745553,69.1035619,68.6125918,99.4597932,112.0268425,480.8018573,454.3165089,243.38905
"Clec2h","Clec2h",544.3455299,175.9225509,374.749341,334.6760044,303.1783548,696.6614184,993.7792097,322.1795623,178.137994,202.281059,360.9684481,130.2450269,1133.7742981,831.709975,317.7510081
"Isx","Isx",183.62768,155.1179956,35.5322548,230.1378389,175.1907687,304.8657001,349.1684067,148.1252356,132.1770214,66.8469622,158.5174049,92.8006454,264.9713607,116.8306668,214.9020542
"Nlrp6","Nlrp6",95.0743818,44.3461519,33.2978863,53.6140842,18.2474479,53.5647862,94.6005099,16.5501732,25.151561,20.2777623,20.4785693,17.3979871,197.6737542,39.8565988,80.3054955
"Noxa1","Noxa1",270.6499723,255.4329948,357.8134964,300.4745122,233.1787984,277.2683241,451.3964666,134.4565859,121.9214551,106.7856252,143.4809545,99.4880994,483.2600086,453.8995307,278.229899
"Ern2","Ern2",651.2231665,490.8557804,665.1837385,569.4842835,507.067761,871.3929574,1250.9986163,460.3739737,285.2986982,250.7896368,401.8767165,235.1277939,1335.4370799,1377.6638837,589.3048339
"Pla2g10","Pla2g10",646.6376433,354.8124497,697.9417574,437.4947654,543.6244256,786.5188167,1282.190032,381.3818811,209.9009085,192.4980383,323.7009561,155.5631443,1310.4528222,1237.8271538,482.3286522
"Hsd3b3","Hsd3b3",13.4086255,13.1104145,19.3919996,15.9400581,7.3734628,16.0715252,8.0869651,12.4000687,15.1874016,4.4143367,9.7093848,6.8055051,26.7558303,27.3595614,10.4210107
"Krt20","Krt20",233.1905457,40.4711375,115.1868809,80.6512472,79.3444269,199.3360008,343.4124011,153.1993157,79.3011259,59.1818171,167.5784238,0,378.695323,160.836041,92.6952184
"X1810065E05Rik","X1810065E05Rik",59.2347616,70.6162347,24.8845329,87.6404593,73.3722007,61.2063081,77.1847719,57.9146137,51.7717196,28.0960434,18.6762122,26.6142186,100.2077759,97.82679035,75.30648324
"Agr2","Agr2",752.9109928,508.2686648,893.1034152,540.4867263,638.5675041,914.2160202,1456.5689801,483.4782295,312.1808379,271.624292,428.3237033,242.5793456,1451.2299093,1442.4883844,608.1744198
"Cldn23","Cldn23",470.8872459,333.8667487,549.4374529,354.63287144,250.7796934,467.506929,671.086546,188.8131222,252.1880241,138.032166,316.2718213,89.2138783,979.8121787,999.8125971,443.9460134
"Hsd17b2","Hsd17b2",344.3262273,61.3340975,216.882914,116.7804142,110.4951282,313.66142,532.5810744,178.5334553,84.9836914,91.3253779,167.351038,7.0689216,731.2632298,560.2877007,87.9224856
"Sult1b1","Sult1b1",166.1313026,4.9070435,71.039596,86.8182424,60.8643078,138.7300779,294.188467,43.7076694,10.7619801,49.3680658,62.1027835,4.94996,274.5563048,149.779981,39.2978641
"Mgat4c","Mgat4c",92.2603068,116.8904274,69.0700597,103.8749156,86.9441626,89.2914385,95.7482782,58.6391972,46.9152153,23.2434648,69.176895,40.4214798,137.8885785,104.8706422,152.5624589
"Rnf186","Rnf186",625.8186301,319.935782,675.2401724,334.2097052,427.3930349,677.6249336,1083.9359204,334.2470182,215.5061433,175.1661831,294.2358688,123.321537,1275.9554971,1194.1528933,460.0593687
"Hgfac","Hgfac",686.4952856,429.7274453,765.3263169,497.646542,557.7318638,874.2321647,1309.354629,442.9548951,262.979531,215.0800639,426.1130773,195.7733207,1309.3614376,1356.5396514,539.5272433
"Fam3b","Fam3b",365.927787,358.7762604,557.3505187,365.5769425,373.5586776,429.7266771,547.0844933,201.501178,149.0518918,144.0912955,324.1957031,119.6543739,581.8533533,798.3829498,370.0936644
"Entpd8","Entpd8",461.690049,246.0528949,387.2832974,332.5454149,209.6997309,484.1695061,761.6523444,248.8049514,156.2836746,142.4323107,295.1218232,122.045423,898.2053745,630.3970545,406.9750604
"Kcne3","Kcne3",343.1947099,279.996722,525.4407461,274.6326757,365.7283958,436.3238877,682.4680173,201.5143024,133.7998281,109.6505163,150.2178564,88.7682138,832.2527412,777.7851396,305.7580548
"Chst4","Chst4",607.8932842,411.3281663,713.3551297,430.1420257,416.33905036,756.6337408,1045.538676,344.4032623,212.3779702,168.1619279,319.6264951,160.7228906,1209.293211,1246.798688,478.85594
"Espn","Espn",323.0956064,90.1672019,147.2176493,109.0634546,81.2321657,318.1388535,475.6564787,140.9488868,78.602165,38.5571081,112.4650777,28.2122676,212.5885393,220.7720156,65.8612629
"BC030870","BC030870",610.8391163,367.1357882,633.5579387,422.148225,428.3194735,600.4517621,1075.3867567,299.961217,220.5544132,197.9045598,358.7813401,110.7186399,1212.1802937,1206.5912393,438.9394771
"Ihh","Ihh",506.0769195,302.9995816,397.3904244,329.7013776,340.70658835,681.336245,999.9233708,355.9901557,196.0537534,161.758747,240.4671132,117.6792268,970.7892651,1139.7257516,368.4511311
"Cldn2","Cldn2",358.2495991,323.7870789,315.80246,322.6088051,346.42300083,383.3732132,740.3361606,191.9334677,96.0292278,108.7976946,197.2219096,111.884073,765.2755699,675.0315974,393.049182
"Gstm3","Gstm3",269.0086818,119.4777442,283.7852423,165.1001651,59.75554307,221.1087752,432.4316901,48.7807183,61.6862345,55.6790714,78.1795984,29.4458795,473.6118142,272.1538366,165.841495
"Clrn3","Clrn3",411.5281744,218.1029256,308.1714049,288.6043166,218.2010014,477.1341731,711.5314141,252.5233649,138.1910771,120.6829822,219.5440008,73.9150364,825.4774709,681.2788774,357.1557245
"X2510049J12Rik","X2510049J12Rik",390.7256885,248.5147268,557.2892506,289.2938441,308.711619,411.5181464,702.3291005,169.0861998,151.9248696,75.998874,194.9918474,76.0218989,826.905335,615.4041435,360.2576738
