"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Cyp2c55","Cyp2c55",51.6765161,143.365414,110.4645525,158.9060297,62.6204325,27.8640444,105.08975576,57.5615602,182.263918,157.2041769,292.9483882,312.4648691,64.512461,53.7579062,225.6172022
"Car1","Car1",108.9163803,214.5762382,220.4877687,181.5471755,80.4095346,41.9540788,60.57353954,78.0102094,225.6943861,172.6236833,345.0211143,424.4527555,58.0650364,82.1997383,301.0283054
"Hoxb13","Hoxb13",65.1907134,196.5778013,255.4366636,78.9518189,3.3583581,76.7757217,58.369364,7.0779285,4.835217,26.1531552,153.5692665,30.7314256,20.0788978,39.532176,87.2629255
"Clca4","Clca4",450.4058522,783.2639146,655.9232274,580.3243747,196.6648933,321.4691182,306.6034318,141.9990048,491.9223026,515.0615012,1020.3133941,842.897529799999,287.5589085,441.0369272,1333.5582746
"Clec2h","Clec2h",4.1286945,33.5307835,8.3568697,35.703344,3.6327102,15.25503,23.9394026,4.943078,17.117083,25.8138456,82.1879451,39.6621222,16.564178,6.6826587,36.7907583
"Isx","Isx",152.5545673,289.4630045,176.4794609,353.7858059,56.046887,45.7996976,118.8416165,51.9242564,230.0714537,101.6753117,230.8742598,211.9084577,126.4705864,116.1981589,409.2605084
"Nlrp6","Nlrp6",302.9036691,699.4493988,495.1687098,518.9163403,113.9723504,181.0178448,250.3964794,129.6872958,346.5807659,318.3759193,633.5175409,480.81874,267.3002549,314.177064,867.2976707
"Noxa1","Noxa1",257.5912223,593.5398365,460.4335709,427.1494425,164.6298273,217.6363799,247.306371,103.7891592,215.6207538,220.5917344,532.5403696,440.9273582,231.7394792,220.6883437,761.953102
"Ern2","Ern2",134.6588978,332.4444942,259.9751038,229.6135507,81.0207482,112.2355121,62.048576,25.5898899,127.2855636,132.7850894,328.045404,184.1824506,74.3597966,64.2175648,254.1156095
"Pla2g10","Pla2g10",81.5322653,243.187379,137.6949487,199.1523236,63.2363506,29.6421982,80.3696079,28.2815725,61.5990445,106.7523452,180.6441103,138.489,62.9483099,59.1276867,255.0810872
"Hsd3b3","Hsd3b3",127.6956288,316.077049,189.253804,204.4582507,70.9329449,47.2645264,147.7695537,56.810171,129.7394631,168.4881488,306.1024748,246.7046463,116.7901295,122.2583001,332.3362079
"Krt20","Krt20",7.9547787,28.3548512,8.61586,27.7627735,4.8770165,0,5.846411,0,32.7687707,25.4128291,29.2812152,14.9077826,11.9115444,8.2808214,43.7539247
"X1810065E05Rik","X1810065E05Rik",52.0221021,143.9595055,97.3767053,115.3876772,30.2714041,12.249267,81.4189399,23.3651083,86.0703363,62.5911964,90.8953518,105.627965,27.2391832,30.0939763,140.6888808
"Agr2","Agr2",260.1038218,679.3660994,445.1166802,334.2139079,95.9690019,141.4751594,143.1283678,80.3847331,172.5230635,247.2899634,616.6853546,370.8738553,139.2606646,107.1020063,680.0814553
