"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"1","Hoxb13",367.31183055,280.1509239,399.747477511,161.954528118,47.1052590304,284.28216966,393.525255364,246.185962473,199.93449369,289.25005871,228.206810071,20.012007692,419.520677393,447.20704319,298.772915403
"2","Cyp2c55",376.249222993,481.009160601,378.447231701,393.093225437,255.40576968943,352.45319332,329.4317716622,258.133772313,376.729221313,417.854784238,345.9822300783,245.833644352,413.720238638,286.013591899,543.7118472955
"3","Car1",391.7246389784,445.719843476,459.193308664,372.5166545504,283.4504830189,331.967382303,308.8627637403,220.7250643,345.7918228479,345.220503438,345.8904544504,255.8838694585,390.9317218038,293.4302768731,466.660261481
"4","Chst4",299.564740849,265.6429999131,295.992701158,207.936434405,113.673625863,296.933309003,384.610277305,218.044205519,207.21613815,127.227225146,173.32723261,65.702800204,462.859338133,414.551133086,434.42897689
"5","X1810065E05Rik",312.422673331,482.058605193,386.09813509,342.938358184,284.762840218,321.942567938,316.079400126,179.459604052,313.263449808,299.162024734,285.894313547,203.989962292,354.044086138,327.904804057,496.1712491889
"6","Spink4",204.2085451195,183.434411175,310.638483822,184.835706339,196.403292275,231.068685028,422.872983955,104.753048109,105.254923801,108.276640552,153.9497847855,106.666349525,424.446839737,447.626552621,239.0091617363
"7","Clca4",420.556831243,341.084660617,309.921366298,240.5571137574,101.106352997,267.391916554,340.028732923,244.490217978,374.210610412,333.940138612,381.125210449,242.846982942,420.331119999,281.076394083,747.652027893
"8","Krt20",271.095140177,371.454731565,308.339791766,275.0109806456,156.272825655,226.06213703,257.955211696,152.199162776,295.317751777,344.37697556,339.120035516,182.352593218,324.241369855,254.478832607,427.0931379
"9","Isx",326.03780549,480.036353426,280.858631659,417.01244098,209.187502066,372.22642255,365.921517474,201.54999652,404.285273353,249.418736506,304.333730468,212.466637722,444.354316215,284.133348644,589.66172961
"10","Ern2",267.89937456,277.911227293,234.195838443,273.752650111,158.3646832442,332.344369337,362.760206437,237.986233533,255.098519874,188.089869404,213.662104022,120.110524944,401.689659233,420.676461309,371.461072281
"11","Agr2",471.9566905945,425.321286953,432.507938734,278.155701903,237.071963162,385.658555122,569.5096888477,271.3836081124,277.641778772,265.500779436,327.2390931785,144.215503471,544.7963031,506.7041025657,526.4283660805
"12","Noxa1",450.487873432,497.830687497,406.1194723785,388.186313114,199.5647337349,408.721734291,424.609684981,310.384310497,383.880627794,315.742079201,300.866632609,175.45216599,460.17890323,325.16199069,712.352879335
"13","Gm1123",174.770153988,143.703080577,213.47454983,130.882309896,151.3880850379,257.41167162,380.526901672,115.404705798,80.30036118,64.917566904,109.63393644,51.235524676,366.21176365,391.068233475,161.16575523
"14","Pla2g10",467.901379683,449.706592492,512.320750667,346.99418706,295.273445318,390.348781962,598.974440014,282.385567109,306.615638415,347.883874656,282.838767082,139.20049191,644.057485278,514.468959576,555.549769169
"15","Mgat4c",314.822434235,534.130545957,338.826790361,374.977543083,245.523809488,267.483666742,321.114190769,141.53117033,311.86645121,311.605651851,314.175900949,198.010440223,369.882101617,294.24018551,553.020343497
"16","Atp2c2",235.64094973,123.594630801,249.84204078,161.37188649,152.374260589,249.682743825,378.201591522,136.710798541,96.278154565,113.570821652,148.595618968,40.689172087,416.395605357,426.615439281001,227.197999374
"17","Clec2h",272.773376086,285.280954798,235.940038576,251.913927578,179.93928439,320.178415435,376.8143794307,163.965601175,268.240776822,302.726194487,300.554509933,176.15770547,477.470087928,379.315740637,414.40089388
"18","Sult1b1",336.16662229,443.941407304,411.463270309,327.572731292,222.3531607895,326.236249274,362.438157848,224.035680415,304.576523558,394.91336679,299.197793865,190.782415336,444.460699117,280.003871339,507.5316629055
"19","Hsd3b3",306.042207587,508.922911692,379.968170168,354.159382277,208.131834437,294.688121401,301.2220242287,192.022492821,368.018693082,371.964747879,343.222082798,219.173074825,415.056221081,296.759922043,573.229214455
"20","Lrrc26",310.312197264,227.564361742,326.057453594,201.163881585,237.553545234,298.074849262,478.5345008485,183.279480115,113.10590276,118.764615431,121.82442725,57.51006339,438.642820795,427.71311711,205.52292999
"21","Cdx2",441.13859726,685.934331229,412.707592867,468.762007706,270.704004542,579.913257338,505.929502136,352.510811801,429.649554823,364.373607406,295.60662862,232.37644104,535.417606513,440.73523757,666.298829829
"22","Cyp2c65",290.628688004,390.103991557,259.48622252,309.252283458,163.213741158,323.08194213,272.527091508,202.95207194,292.597558496,303.596197241,251.610262986,218.040910816,390.232325306,257.82617676,450.14469567
"23","Fam3b",270.464436644,422.397195898,419.153487289,300.330165401,233.821708913,257.119655439,313.921281885,132.59107735,246.005666544,247.76353124,266.211643574,182.19982623,330.151728144,375.700143731,409.153806989
"24","Gstm3",501.501539271,387.997304692,435.984994191,329.826840768,189.3183580322,361.359759746,437.841528013,280.419935358,344.180004499,324.076107573,253.143765109,129.237482983,450.193589249,244.036722258,508.486426551
"25","BC030870",436.873645612,478.262182789,400.289593664,308.206218581,184.8270448142,293.335846962,430.446058891,222.399158716,295.82985579,370.05515002,355.711712488,131.21550816,572.85861667,495.053474282,602.194467342
"26","Spdef",164.216650501,170.287324555,233.8053548,155.823254541,140.65603332,228.903536792,321.533235939,130.48088572,89.816933195,73.963905091,97.14958703,67.827892465,312.747624386,382.750716042,176.806005285
"27","Ihh",356.722416855,364.172942008,212.169728194,352.126129756,162.0729347327,507.925240338,426.105154174,321.084528987,385.290942677,322.206311584,289.618954306,166.021837203,439.64869989,474.998587542,548.209252965
